# Matter power spectrum P(k) at redshift z=0
# for k=1.045e-05 to 0.630176 h/Mpc,
# number of wavenumbers equal to 561
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       4.405579408327e-01       4.464683256570e+02 
       4.437718038381e-01       4.399802894880e+02 
       4.469856670829e-01       4.336343108258e+02 
       4.501995305617e-01       4.274017743014e+02 
       4.534133942698e-01       4.212645149150e+02 
       4.566272582021e-01       4.151961036635e+02 
       4.598411223541e-01       4.091970150407e+02 
       4.630549867210e-01       4.032776505528e+02 
       4.662688512985e-01       3.974189624204e+02 
       4.694827160821e-01       3.916452864476e+02 
       4.726965810678e-01       3.859605574928e+02 
       4.759104462513e-01       3.803671736094e+02 
       4.791243116286e-01       3.748735993396e+02 
       4.823381771960e-01       3.694899083165e+02 
       4.855520429496e-01       3.642248207765e+02 
       4.887659088857e-01       3.590899527294e+02 
       4.919797750007e-01       3.540887551772e+02 
       4.951936412912e-01       3.492227861440e+02 
       4.984075077537e-01       3.444823132411e+02 
       5.016213743849e-01       3.398589397025e+02 
       5.048352411815e-01       3.353372858869e+02 
       5.080491081405e-01       3.309101786417e+02 
       5.112629752588e-01       3.265664802512e+02 
       5.144768425334e-01       3.223009876345e+02 
       5.176907099612e-01       3.181093600330e+02 
       5.209045775396e-01       3.139836314672e+02 
       5.241184452657e-01       3.099188319899e+02 
       5.273323131368e-01       3.059091944498e+02 
       5.305461811503e-01       3.019527406719e+02 
       5.337600493036e-01       2.980496173467e+02 
       5.369739175941e-01       2.942041847322e+02 
       5.401877860195e-01       2.904218942966e+02 
       5.434016545773e-01       2.867075806946e+02 
       5.466155232651e-01       2.830640926657e+02 
       5.498293920807e-01       2.794902554101e+02 
       5.530432610219e-01       2.759839134778e+02 
       5.562571300865e-01       2.725431979821e+02 
       5.594709992723e-01       2.691670497872e+02 
       5.626848685772e-01       2.658553518081e+02 
       5.658987379993e-01       2.626085233994e+02 
       5.691126075365e-01       2.594267769815e+02 
       5.723264771869e-01       2.563046339280e+02 
       5.755403469485e-01       2.532390272747e+02 
       5.787542168196e-01       2.502251716614e+02 
       5.819680867983e-01       2.472583137962e+02 
       5.851819568828e-01       2.443431236673e+02 
       5.883958270714e-01       2.414638258160e+02 
       5.916096973624e-01       2.386307893190e+02 
       5.948235677541e-01       2.358413430444e+02 
       5.980374382449e-01       2.330957752868e+02 
       6.012513088332e-01       2.303916143609e+02 
       6.044651795175e-01       2.277269099961e+02 
       6.076790502962e-01       2.251003057358e+02 
       6.108929211677e-01       2.225129850331e+02 
       6.141067921308e-01       2.199590324610e+02 
       6.173206631839e-01       2.174542030097e+02 
       6.205345343256e-01       2.149932137756e+02 
       6.237484055545e-01       2.125739860609e+02 
       6.269622768694e-01       2.101965713151e+02 
       6.301761482688e-01       2.078583120844e+02 
